country,date,feature,value
AE,2022-05-19,ActiveSubscription,134
AE,2022-05-19,NewSubscription,1
AE,2022-05-20,ActiveSubscription,133
AE,2022-05-20,NewSubscription,1
AE,2022-05-21,ActiveSubscription,131
AE,2022-05-22,ActiveSubscription,129
AE,2022-05-22,NewSubscription,2
AE,2022-05-23,ActiveSubscription,124
AE,2022-05-23,NewSubscription,1
AE,2022-05-24,ActiveSubscription,122
AE,2022-05-24,NewSubscription,1
AE,2022-05-25,ActiveSubscription,126
AE,2022-05-25,NewSubscription,3
AE,2022-05-26,ActiveSubscription,123
AE,2022-05-26,NewSubscription,1
AE,2022-05-27,ActiveSubscription,128
AE,2022-05-28,ActiveSubscription,132
AE,2022-05-28,NewSubscription,2
AE,2022-05-29,ActiveSubscription,132
AE,2022-05-29,NewSubscription,1
AE,2022-05-30,ActiveSubscription,132
AE,2022-05-30,NewSubscription,2
AE,2022-05-31,ActiveSubscription,135
AE,2022-06-01,ActiveSubscription,138
AE,2022-06-02,ActiveSubscription,141
AE,2022-06-03,ActiveSubscription,141
AE,2022-06-03,NewSubscription,3
AE,2022-06-04,ActiveSubscription,138
AE,2022-06-04,NewSubscription,1
AE,2022-06-05,ActiveSubscription,137
AE,2022-06-06,ActiveSubscription,138
AE,2022-06-07,ActiveSubscription,137
AE,2022-06-08,ActiveSubscription,135
AE,2022-06-08,NewSubscription,2
AE,2022-06-09,ActiveSubscription,134
AE,2022-06-10,ActiveSubscription,133
AE,2022-06-11,ActiveSubscription,131
AE,2022-06-11,NewSubscription,1
AE,2022-06-12,ActiveSubscription,130
AE,2022-06-12,NewSubscription,1
AE,2022-06-13,ActiveSubscription,127
AE,2022-06-13,NewSubscription,1
AE,2022-06-14,ActiveSubscription,128
AE,2022-06-14,NewSubscription,2
AE,2022-06-15,ActiveSubscription,129
AE,2022-06-16,ActiveSubscription,124
AE,2022-06-16,NewSubscription,4
AE,2022-06-17,ActiveSubscription,125
AE,2022-06-17,NewSubscription,1
AE,2022-06-18,ActiveSubscription,125
AE,2022-06-18,NewSubscription,2
AE,2022-06-19,ActiveSubscription,125
AE,2022-06-20,ActiveSubscription,126
AE,2022-06-20,NewSubscription,1
AE,2022-06-21,ActiveSubscription,127
AE,2022-06-21,NewSubscription,3
AE,2022-06-22,ActiveSubscription,126
AE,2022-06-23,ActiveSubscription,127
AE,2022-06-24,ActiveSubscription,129
AE,2022-06-24,NewSubscription,1
AE,2022-06-25,ActiveSubscription,131
AE,2022-06-25,NewSubscription,1
AE,2022-06-26,ActiveSubscription,127
AE,2022-06-26,NewSubscription,2
AE,2022-06-27,ActiveSubscription,131
AE,2022-06-28,ActiveSubscription,134
AE,2022-06-28,NewSubscription,4
AE,2022-06-29,ActiveSubscription,133
AE,2022-06-29,NewSubscription,1
AE,2022-06-30,ActiveSubscription,131
AE,2022-06-30,NewSubscription,2
AE,2022-07-01,ActiveSubscription,136
AE,2022-07-02,ActiveSubscription,136
AE,2022-07-03,ActiveSubscription,136
AE,2022-07-03,NewSubscription,2
AE,2022-07-04,ActiveSubscription,134
AE,2022-07-04,NewSubscription,2
AE,2022-07-05,ActiveSubscription,136
AE,2022-07-05,NewSubscription,1
AE,2022-07-06,ActiveSubscription,137
AE,2022-07-07,ActiveSubscription,137
AE,2022-07-07,NewSubscription,1
AE,2022-07-08,ActiveSubscription,135
AE,2022-07-09,ActiveSubscription,135
AE,2022-07-10,ActiveSubscription,136
AE,2022-07-10,NewSubscription,3
AE,2022-07-11,ActiveSubscription,134
AE,2022-07-11,NewSubscription,2
AE,2022-07-12,ActiveSubscription,133
AE,2022-07-12,NewSubscription,2
AE,2022-07-13,ActiveSubscription,134
AE,2022-07-13,NewSubscription,2
AE,2022-07-14,ActiveSubscription,138
AE,2022-07-14,NewSubscription,1
AE,2022-07-15,ActiveSubscription,135
AE,2022-07-16,ActiveSubscription,139
AE,2022-07-16,NewSubscription,1
AE,2022-07-17,ActiveSubscription,139
AE,2022-07-18,ActiveSubscription,140
AE,2022-07-18,NewSubscription,1
AE,2022-07-19,ActiveSubscription,138
AE,2022-07-19,NewSubscription,1
